turn number,turn,node number,decition time,move,
0,white,9627,0.00171572715044021606,White pawn from E2 to E3,
1,black,13708,0.00252021150663495064,Black pawn from G7 to G5,
2,white,31185,0.00607381947338581085,White knight from G1 to F3,
3,black,18075,0.00366306956857442856,Black pawn from F7 to F6,
4,white,40778,0.00884423172101378441,White pawn from H2 to H4,
5,black,86434,0.01904934039339423180,Black bishop from F8 to H6,
6,white,1025964,0.24320199666544795036,White pawn from G2 to G4,
7,black,339847,0.08368061250075697899,Black pawn from C7 to C6,
8,white,1439607,0.35624118987470865250,White bishop from F1 to G2,
9,black,390349,0.09908867208287119865,Black pawn from E7 to E5,
10,white,30063982,7.89224269986152648926,White pawn from H4 to H5,
11,black,133665,0.03578126942738890648,Black pawn from D7 to D6,
12,white,2501844,0.65135712781921029091,White knight from F3 to H2,
13,black,152831,0.03925715712830424309,Black king from E8 to F7,
14,white,339370,0.08772133756428956985,White queen from D1 to E2,
15,black,299693,0.07587239146232604980,Black queen from D8 to A5,
16,white,681909,0.18165215896442532539,White queen from E2 to F3,
17,black,714273,0.18255831766873598099,Black knight from B8 to D7,
18,white,1991778,0.50760976644232869148,White rook from H1 to G1,
19,black,709287,0.18372060358524322510,Black rook from A8 to B8,
20,white,1148990,0.29446080652996897697,White king from E1 to D1,
21,black,921789,0.23991329362615942955,Black king from F7 to E7,
22,white,2089110,0.51516256807371973991,White king from D1 to E2,
23,black,3294650,0.84330166224390268326,Black queen from A5 to A6,
24,white,56795,0.01449125260114669800,White king from E2 to D1,
25,black,639814,0.17289077444002032280,Black king from E7 to E8,
26,white,9324917,2.41172665916383266449,White bishop from G2 to F1,
27,black,489526,0.12834620010107755661,Black queen from A6 to B6,
28,white,2455931,0.61537767620757222176,White bishop from F1 to D3,
29,black,919221,0.23630625568330287933,Black knight from D7 to C5,
30,white,27135966,7.20140427071601152420,White bishop from D3 to E2,
31,black,1992142,0.54179445374757051468,Black knight from C5 to D7,
32,white,2298641,0.57750611752271652222,White queen from F3 to F5,
33,black,4410256,1.14937751414254307747,Black pawn from A7 to A5,
34,white,5687465,1.44439318962395191193,White queen from F5 to E6,
35,black,87491,0.02318835305050015450,Black king from E8 to D8,
36,white,807565,0.20291701704263687134,White queen from E6 to D6,
37,black,1483091,0.38721988536417484283,Black pawn from C6 to C5,
38,white,503187,0.12651112629100680351,White queen from D6 to D5,
39,black,1604455,0.43331710807979106903,Black bishop from H6 to G7,
40,white,849605,0.21209550416097044945,White queen from D5 to H1,
41,black,481414,0.12401768052950501442,Black knight from G8 to E7,
42,white,207482,0.04986584605649113655,White pawn from B2 to B3,
43,black,439864,0.11094423057511448860,Black bishop from G7 to H6,
44,white,821670,0.20785103086382150650,White pawn from C2 to C4,
45,black,461951,0.11860307026654481888,Black rook from H8 to F8,
46,white,2600860,0.64750893320888280869,White queen from H1 to G2,
47,black,658548,0.16392206447198987007,Black king from D8 to E8,
48,white,1816445,0.43613487295806407928,White queen from G2 to H3,
49,black,214867,0.05524978833273053169,Black queen from B6 to A6,
50,white,449360,0.11300168884918093681,White knight from B1 to C3,
51,black,569240,0.14310466265305876732,Black knight from D7 to B6,
52,white,1429825,0.37109014857560396194,White rook from G1 to F1,
53,black,758127,0.20122166769579052925,Black knight from E7 to C6,
54,white,922476,0.24286596337333321571,White bishop from C1 to A3,
55,black,7518061,1.94394412683323025703,Black knight from B6 to D7,
56,white,2356525,0.61594536248594522476,White king from D1 to E1,
57,black,8197127,2.08270399784669280052,Black knight from C6 to A7,
58,white,2574226,0.66458902088925242424,White knight from C3 to D1,
59,black,7035174,1.69799924315884709358,Black rook from F8 to H8,
60,white,1385917,0.35232405830174684525,White queen from H3 to F3,
61,black,4438596,1.06687295436859130859,Black rook from H8 to F8,
62,white,10824117,2.64516403758898377419,White rook from F1 to G1,
63,black,19767089,4.65868026856333017349,Black rook from F8 to H8,
64,white,4562980,1.11153027229011058807,White queen from F3 to D5,
65,black,9496780,2.34906080039218068123,Black queen from A6 to B6,
66,white,9776222,2.37373572262004017830,White queen from D5 to F3,
67,black,11758711,2.77146678650751709938,Black knight from D7 to F8,
68,white,226309719,54.02457922091707587242,White rook from G1 to G2,
69,black,114419596,26.59145397832617163658,Black king from E8 to E7,
70,white,236857,0.06287001445889472961,White queen from F3 to H3,
71,black,639657,0.16827013995498418808,Black knight from F8 to D7,
72,white,196725,0.04975662613287568092,White knight from D1 to C3,
73,black,135110,0.03384618787094950676,Black rook from H8 to E8,
74,white,111700,0.02840975625440478325,White knight from C3 to D5,
75,black,60343,0.01686429558321833611,Black king from E7 to D6,
76,white,1859927,0.50190474465489387512,White knight from D5 to B6,
77,black,1804678,0.48277902929112315178,Black knight from D7 to B6,
78,white,358420,0.09493792569264769554,White rook from A1 to B1,
79,black,929323,0.24727663071826100349,Black rook from E8 to D8,
80,white,712039,0.18473219778388738632,White rook from B1 to A1,
81,black,693349,0.18593925237655639648,Black bishop from C8 to D7,
82,white,2111159,0.56380995735526084900,White queen from H3 to G3,
83,black,3848024,1.01867173379287123680,Black bishop from D7 to C6,
84,white,1058589,0.27929954230785369873,White pawn from F2 to F3,
85,black,748431,0.20132404379546642303,Black rook from D8 to C8,
86,white,649062,0.17284530308097600937,White pawn from D2 to D4,
87,black,518638,0.14341453043743968010,Black knight from B6 to D7,
88,white,929046,0.24734143540263175964,White rook from A1 to D1,
89,black,1635562,0.43060724530369043350,Black rook from C8 to G8,
90,white,827339,0.22779390262439846992,White pawn from D4 to E5,
